ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Beat,District,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11035001,JA368460,7/28/17 9:00,012XX S ASHLAND AVE,DECEPTIVE PRACTICE,FORGERY,BANK,FALSE,1233,12,28,10,1165916,1894587,2017,41.86633173,-87.66637917,"(41.866331725, -87.666379171)"
11035079,JA368572,7/29/17 13:40,019XX W OGDEN AVE,THEFT,FROM BUILDING,HOSPITAL BUILDING/GROUNDS,FALSE,1231,12,28,6,1163312,1897077,2017,41.87321963,-87.67586867,"(41.873219626, -87.675868666)"
11035106,JA368730,7/29/17 16:21,010XX S CANAL ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,124,1,28,6,1173291,1895810,2017,41.8695273,-87.63926876,"(41.869527301, -87.639268759)"
11035120,JA368516,7/29/17 13:30,021XX E 71ST ST,THEFT,OVER $500,SIDEWALK,FALSE,333,3,43,6,1191868,1858281,2017,41.76611332,-87.57228908,"(41.766113323, -87.57228908)"
11035133,JA368676,7/29/17 15:35,045XX S DREXEL BLVD,BATTERY,SIMPLE,APARTMENT,TRUE,221,2,39,08B,1182957,1875015,2017,41.81224459,-87.60443062,"(41.812244589, -87.604430616)"
11035156,JA368745,7/29/17 15:45,002XX S CANAL ST,THEFT,POCKET-PICKING,STREET,FALSE,121,1,28,6,1173178,1899203,2017,41.87884043,-87.63958293,"(41.878840427, -87.639582928)"
11035159,JA368744,7/29/17 8:00,020XX S CLARK ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,131,1,33,5,1175819,1890453,2017,41.85477087,-87.63014895,"(41.854770868, -87.630148953)"
11035174,JA368683,7/29/17 15:00,067XX S CREGIER AVE,ASSAULT,SIMPLE,SIDEWALK,FALSE,332,3,43,08A,1189364,1860576,2017,41.77247142,-87.58139343,"(41.772471421, -87.58139343)"
11035187,JA368793,7/29/17 17:00,047XX S COTTAGE GROVE AVE,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,TRUE,223,2,39,26,1182386,1873939,2017,41.80930523,-87.60655839,"(41.809305232, -87.606558389)"
11035190,JA368696,7/27/17 20:00,069XX S MERRILL AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,FALSE,331,3,43,11,1191742,1859432,2017,41.76927481,-87.5727136,"(41.769274814, -87.572713598)"
11035196,JA368606,7/27/17 23:00,068XX S CORNELL AVE,THEFT,$500 AND UNDER,STREET,FALSE,332,3,43,6,1188383,1859940,2017,41.77074966,-87.58500973,"(41.770749664, -87.585009726)"
11035211,JA368799,7/27/17 16:00,011XX E 46TH ST,THEFT,$500 AND UNDER,STREET,FALSE,222,2,39,6,1184577,1874737,2017,41.81144388,-87.59849727,"(41.811443877, -87.598497274)"
11035215,JA368872,7/29/17 17:45,010XX S CANAL ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,124,1,28,6,1173291,1895810,2017,41.8695273,-87.63926876,"(41.869527301, -87.639268759)"
11035228,JA368804,7/29/17 8:45,005XX S MICHIGAN AVE,THEFT,$500 AND UNDER,STREET,FALSE,123,1,32,6,1177364,1897937,2017,41.87527257,-87.62425131,"(41.875272573, -87.624251314)"
11035231,JA368757,7/29/17 16:30,018XX W DIVISION ST,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CLEANING STORE,FALSE,1424,14,24,04A,1163687,1908020,2017,41.9032402,-87.67418324,"(41.903240204, -87.674183239)"
